"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02665V03225","Economic Sector NACE Rev 2","C02511V03040","Private or Public Sector","UNIT","VALUE"
"EHQ16C01","Employment","20082","2008Q2","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","I","Accommodation and food service activities (I)","-","All sectors","Number","155200"
"EHQ16C01","Employment","20082","2008Q2","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","J","Information and communication (J)","-","All sectors","Number","64000"
"EHQ16C01","Employment","20082","2008Q2","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","M","Professional, scientific and technical activities (M)","-","All sectors","Number","83600"
"EHQ16C01","Employment","20082","2008Q2","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","N","Administrative and support service activities (N)","-","All sectors","Number","91500"
"EHQ16C01","Employment","20082","2008Q2","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","121600"
"EHQ16C01","Employment","20082","2008Q2","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","P","Education (P)","-","All sectors","Number","134800"
"EHQ16C01","Employment","20082","2008Q2","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","Q","Human health and social work activities (Q)","-","All sectors","Number","206700"
"EHQ16C01","Employment","20082","2008Q2","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","Y0900","Industry (B to E)","-","All sectors","Number","234500"
"EHQ16C01","Employment","20082","2008Q2","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","97700"
"EHQ16C01","Employment","20082","2008Q2","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","54600"
"EHQ16C01","Employment","20083","2008Q3","-","All NACE economic sectors","01","Private sector","Number","1318100"
"EHQ16C01","Employment","20083","2008Q3","-","All NACE economic sectors","02","Public sector","Number","417100"
"EHQ16C01","Employment","20083","2008Q3","-","All NACE economic sectors","-","All sectors","Number","1735200"
"EHQ16C01","Employment","20083","2008Q3","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","F","Construction (F)","-","All sectors","Number","135100"
"EHQ16C01","Employment","20083","2008Q3","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","313300"
"EHQ16C01","Employment","20083","2008Q3","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","H","Transportation and storage (H)","-","All sectors","Number","69200"
"EHQ16C01","Employment","20083","2008Q3","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","I","Accommodation and food service activities (I)","-","All sectors","Number","149600"
"EHQ16C01","Employment","20083","2008Q3","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","J","Information and communication (J)","-","All sectors","Number","59600"
"EHQ16C01","Employment","20083","2008Q3","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","M","Professional, scientific and technical activities (M)","-","All sectors","Number","82800"
"EHQ16C01","Employment","20083","2008Q3","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","N","Administrative and support service activities (N)","-","All sectors","Number","90000"
"EHQ16C01","Employment","20083","2008Q3","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","120500"
"EHQ16C01","Employment","20083","2008Q3","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","P","Education (P)","-","All sectors","Number","128900"
"EHQ16C01","Employment","20083","2008Q3","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","Q","Human health and social work activities (Q)","-","All sectors","Number","208100"
"EHQ16C01","Employment","20083","2008Q3","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","Y0900","Industry (B to E)","-","All sectors","Number","229100"
"EHQ16C01","Employment","20083","2008Q3","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","95800"
"EHQ16C01","Employment","20083","2008Q3","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20083","2008Q3","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","53200"
"EHQ16C01","Employment","20084","2008Q4","-","All NACE economic sectors","01","Private sector","Number","1285800"
"EHQ16C01","Employment","20084","2008Q4","-","All NACE economic sectors","02","Public sector","Number","427300"
"EHQ16C01","Employment","20084","2008Q4","-","All NACE economic sectors","-","All sectors","Number","1713100"
"EHQ16C01","Employment","20084","2008Q4","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","F","Construction (F)","-","All sectors","Number","127700"
"EHQ16C01","Employment","20084","2008Q4","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","318100"
"EHQ16C01","Employment","20084","2008Q4","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","H","Transportation and storage (H)","-","All sectors","Number","68800"
"EHQ16C01","Employment","20084","2008Q4","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","I","Accommodation and food service activities (I)","-","All sectors","Number","141000"
"EHQ16C01","Employment","20084","2008Q4","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","J","Information and communication (J)","-","All sectors","Number","58600"
"EHQ16C01","Employment","20084","2008Q4","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","M","Professional, scientific and technical activities (M)","-","All sectors","Number","80000"
"EHQ16C01","Employment","20084","2008Q4","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","N","Administrative and support service activities (N)","-","All sectors","Number","86200"
"EHQ16C01","Employment","20084","2008Q4","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","119600"
"EHQ16C01","Employment","20084","2008Q4","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","P","Education (P)","-","All sectors","Number","137200"
"EHQ16C01","Employment","20084","2008Q4","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","Q","Human health and social work activities (Q)","-","All sectors","Number","210200"
"EHQ16C01","Employment","20084","2008Q4","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","Y0900","Industry (B to E)","-","All sectors","Number","221100"
"EHQ16C01","Employment","20084","2008Q4","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","93800"
"EHQ16C01","Employment","20084","2008Q4","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20084","2008Q4","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","50800"
"EHQ16C01","Employment","20091","2009Q1","-","All NACE economic sectors","01","Private sector","Number","1208800"
"EHQ16C01","Employment","20091","2009Q1","-","All NACE economic sectors","02","Public sector","Number","421200"
"EHQ16C01","Employment","20091","2009Q1","-","All NACE economic sectors","-","All sectors","Number","1630000"
"EHQ16C01","Employment","20091","2009Q1","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","F","Construction (F)","-","All sectors","Number","113600"
"EHQ16C01","Employment","20091","2009Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","297000"
"EHQ16C01","Employment","20091","2009Q1","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","H","Transportation and storage (H)","-","All sectors","Number","64500"
"EHQ16C01","Employment","20091","2009Q1","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","I","Accommodation and food service activities (I)","-","All sectors","Number","128800"
"EHQ16C01","Employment","20091","2009Q1","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","J","Information and communication (J)","-","All sectors","Number","54700"
"EHQ16C01","Employment","20091","2009Q1","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","M","Professional, scientific and technical activities (M)","-","All sectors","Number","75800"
"EHQ16C01","Employment","20091","2009Q1","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","N","Administrative and support service activities (N)","-","All sectors","Number","81300"
"EHQ16C01","Employment","20091","2009Q1","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","117800"
"EHQ16C01","Employment","20091","2009Q1","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","P","Education (P)","-","All sectors","Number","135200"
"EHQ16C01","Employment","20091","2009Q1","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","Q","Human health and social work activities (Q)","-","All sectors","Number","205400"
"EHQ16C01","Employment","20091","2009Q1","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","Y0900","Industry (B to E)","-","All sectors","Number","215200"
"EHQ16C01","Employment","20091","2009Q1","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","92200"
"EHQ16C01","Employment","20091","2009Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20091","2009Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","48800"
"EHQ16C01","Employment","20092","2009Q2","-","All NACE economic sectors","01","Private sector","Number","1184300"
"EHQ16C01","Employment","20092","2009Q2","-","All NACE economic sectors","02","Public sector","Number","417700"
"EHQ16C01","Employment","20092","2009Q2","-","All NACE economic sectors","-","All sectors","Number","1602100"
"EHQ16C01","Employment","20092","2009Q2","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","F","Construction (F)","-","All sectors","Number","94800"
"EHQ16C01","Employment","20092","2009Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","288500"
"EHQ16C01","Employment","20092","2009Q2","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","H","Transportation and storage (H)","-","All sectors","Number","63200"
"EHQ16C01","Employment","20092","2009Q2","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","I","Accommodation and food service activities (I)","-","All sectors","Number","132600"
"EHQ16C01","Employment","20092","2009Q2","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","J","Information and communication (J)","-","All sectors","Number","54800"
"EHQ16C01","Employment","20092","2009Q2","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","M","Professional, scientific and technical activities (M)","-","All sectors","Number","73600"
"EHQ16C01","Employment","20092","2009Q2","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","N","Administrative and support service activities (N)","-","All sectors","Number","79800"
"EHQ16C01","Employment","20092","2009Q2","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","118400"
"EHQ16C01","Employment","20092","2009Q2","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","P","Education (P)","-","All sectors","Number","134200"
"EHQ16C01","Employment","20092","2009Q2","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","Q","Human health and social work activities (Q)","-","All sectors","Number","209500"
"EHQ16C01","Employment","20092","2009Q2","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","Y0900","Industry (B to E)","-","All sectors","Number","209800"
"EHQ16C01","Employment","20092","2009Q2","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","96100"
"EHQ16C01","Employment","20092","2009Q2","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20092","2009Q2","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","46800"
"EHQ16C01","Employment","20093","2009Q3","-","All NACE economic sectors","01","Private sector","Number","1164800"
"EHQ16C01","Employment","20093","2009Q3","-","All NACE economic sectors","02","Public sector","Number","409500"
"EHQ16C01","Employment","20093","2009Q3","-","All NACE economic sectors","-","All sectors","Number","1574300"
"EHQ16C01","Employment","20093","2009Q3","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20093","2009Q3","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20093","2009Q3","F","Construction (F)","-","All sectors","Number","90500"
"EHQ16C01","Employment","20093","2009Q3","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20093","2009Q3","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20093","2009Q3","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","281300"
"EHQ16C01","Employment","20093","2009Q3","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20093","2009Q3","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20093","2009Q3","H","Transportation and storage (H)","-","All sectors","Number","63800"
"EHQ16C01","Employment","20093","2009Q3","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20093","2009Q3","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20093","2009Q3","I","Accommodation and food service activities (I)","-","All sectors","Number","131900"
"EHQ16C01","Employment","20093","2009Q3","J","Information and communication (J)","01","Private sector","Number",""
