"Statistic Label","Quarter","NACE Rev. 2 Sector","UNIT","VALUE"
"Hirings","2021Q1","Information and communication (J)","Thousand","12368"
"Hirings","2021Q1","Financial, insurance and real estate activities (K, L)","Thousand","7862"
"Hirings","2021Q1","Professional, scientific and technical activities (M)","Thousand","15938"
"Hirings","2021Q1","Administrative and support service activities (N)","Thousand","22109"
"Hirings","2021Q1","Public administration and defence; compulsory social security (O)","Thousand","7979"
"Hirings","2021Q1","Education (P)","Thousand","15677"
"Hirings","2021Q1","Human health and social work activities (Q)","Thousand","27350"
"Hirings","2021Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","5607"
"Hirings","2021Q1","Services (T, U)","Thousand","136"
"Hirings","2021Q2","All NACE economic sectors","Thousand","348165"
"Hirings","2021Q2","Not stated","Thousand","249"
"Hirings","2021Q2","Agriculture, forestry and fishing (A)","Thousand","5586"
"Hirings","2021Q2","Industry (B to E)","Thousand","24074"
"Hirings","2021Q2","Construction (F)","Thousand","23410"
"Hirings","2021Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","51148"
"Hirings","2021Q2","Transportation and storage (H)","Thousand","7901"
"Hirings","2021Q2","Accommodation and food service activities (I)","Thousand","69818"
"Hirings","2021Q2","Information and communication (J)","Thousand","13855"
"Hirings","2021Q2","Financial, insurance and real estate activities (K, L)","Thousand","10318"
"Hirings","2021Q2","Professional, scientific and technical activities (M)","Thousand","18477"
"Hirings","2021Q2","Administrative and support service activities (N)","Thousand","32690"
"Hirings","2021Q2","Public administration and defence; compulsory social security (O)","Thousand","8299"
"Hirings","2021Q2","Education (P)","Thousand","33091"
"Hirings","2021Q2","Human health and social work activities (Q)","Thousand","24437"
"Hirings","2021Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","24719"
"Hirings","2021Q2","Services (T, U)","Thousand","93"
"Hirings","2021Q3","All NACE economic sectors","Thousand","388103"
"Hirings","2021Q3","Not stated","Thousand","348"
"Hirings","2021Q3","Agriculture, forestry and fishing (A)","Thousand","4142"
"Hirings","2021Q3","Industry (B to E)","Thousand","25139"
"Hirings","2021Q3","Construction (F)","Thousand","21329"
"Hirings","2021Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","57128"
"Hirings","2021Q3","Transportation and storage (H)","Thousand","9170"
"Hirings","2021Q3","Accommodation and food service activities (I)","Thousand","86193"
"Hirings","2021Q3","Information and communication (J)","Thousand","16712"
"Hirings","2021Q3","Financial, insurance and real estate activities (K, L)","Thousand","12657"
"Hirings","2021Q3","Professional, scientific and technical activities (M)","Thousand","20901"
"Hirings","2021Q3","Administrative and support service activities (N)","Thousand","40974"
"Hirings","2021Q3","Public administration and defence; compulsory social security (O)","Thousand","10824"
"Hirings","2021Q3","Education (P)","Thousand","31963"
"Hirings","2021Q3","Human health and social work activities (Q)","Thousand","30659"
"Hirings","2021Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","19856"
"Hirings","2021Q3","Services (T, U)","Thousand","108"
"Hirings","2021Q4","All NACE economic sectors","Thousand","340843"
"Hirings","2021Q4","Not stated","Thousand","177"
"Hirings","2021Q4","Agriculture, forestry and fishing (A)","Thousand","3633"
"Hirings","2021Q4","Industry (B to E)","Thousand","23217"
"Hirings","2021Q4","Construction (F)","Thousand","15122"
"Hirings","2021Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","65241"
"Hirings","2021Q4","Transportation and storage (H)","Thousand","8908"
"Hirings","2021Q4","Accommodation and food service activities (I)","Thousand","52835"
"Hirings","2021Q4","Information and communication (J)","Thousand","13869"
"Hirings","2021Q4","Financial, insurance and real estate activities (K, L)","Thousand","11176"
"Hirings","2021Q4","Professional, scientific and technical activities (M)","Thousand","19311"
"Hirings","2021Q4","Administrative and support service activities (N)","Thousand","40033"
"Hirings","2021Q4","Public administration and defence; compulsory social security (O)","Thousand","10384"
"Hirings","2021Q4","Education (P)","Thousand","35793"
"Hirings","2021Q4","Human health and social work activities (Q)","Thousand","26702"
"Hirings","2021Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","14358"
"Hirings","2021Q4","Services (T, U)","Thousand","84"
"Hirings","2022Q1","All NACE economic sectors","Thousand","313616"
"Hirings","2022Q1","Not stated","Thousand","475"
"Hirings","2022Q1","Agriculture, forestry and fishing (A)","Thousand","4835"
"Hirings","2022Q1","Industry (B to E)","Thousand","24146"
"Hirings","2022Q1","Construction (F)","Thousand","18931"
"Hirings","2022Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","43721"
"Hirings","2022Q1","Transportation and storage (H)","Thousand","7758"
"Hirings","2022Q1","Accommodation and food service activities (I)","Thousand","48463"
"Hirings","2022Q1","Information and communication (J)","Thousand","13751"
"Hirings","2022Q1","Financial, insurance and real estate activities (K, L)","Thousand","12116"
"Hirings","2022Q1","Professional, scientific and technical activities (M)","Thousand","21332"
"Hirings","2022Q1","Administrative and support service activities (N)","Thousand","34426"
"Hirings","2022Q1","Public administration and defence; compulsory social security (O)","Thousand","14230"
"Hirings","2022Q1","Education (P)","Thousand","27808"
"Hirings","2022Q1","Human health and social work activities (Q)","Thousand","29209"
"Hirings","2022Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","12296"
"Hirings","2022Q1","Services (T, U)","Thousand","119"
"Hirings","2022Q2","All NACE economic sectors","Thousand","366447"
"Hirings","2022Q2","Not stated","Thousand","327"
"Hirings","2022Q2","Agriculture, forestry and fishing (A)","Thousand","5548"
"Hirings","2022Q2","Industry (B to E)","Thousand","26216"
"Hirings","2022Q2","Construction (F)","Thousand","18689"
"Hirings","2022Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","51570"
"Hirings","2022Q2","Transportation and storage (H)","Thousand","9708"
"Hirings","2022Q2","Accommodation and food service activities (I)","Thousand","68253"
"Hirings","2022Q2","Information and communication (J)","Thousand","16246"
"Hirings","2022Q2","Financial, insurance and real estate activities (K, L)","Thousand","12637"
"Hirings","2022Q2","Professional, scientific and technical activities (M)","Thousand","20145"
"Hirings","2022Q2","Administrative and support service activities (N)","Thousand","44277"
"Hirings","2022Q2","Public administration and defence; compulsory social security (O)","Thousand","9759"
"Hirings","2022Q2","Education (P)","Thousand","38282"
"Hirings","2022Q2","Human health and social work activities (Q)","Thousand","27620"
"Hirings","2022Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","16969"
"Hirings","2022Q2","Services (T, U)","Thousand","201"
"Hirings","2022Q3","All NACE economic sectors","Thousand","364429"
"Hirings","2022Q3","Not stated","Thousand","436"
"Hirings","2022Q3","Agriculture, forestry and fishing (A)","Thousand","4349"
"Hirings","2022Q3","Industry (B to E)","Thousand","25016"
"Hirings","2022Q3","Construction (F)","Thousand","18930"
"Hirings","2022Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","53984"
"Hirings","2022Q3","Transportation and storage (H)","Thousand","9376"
"Hirings","2022Q3","Accommodation and food service activities (I)","Thousand","59988"
"Hirings","2022Q3","Information and communication (J)","Thousand","17410"
"Hirings","2022Q3","Financial, insurance and real estate activities (K, L)","Thousand","13192"
"Hirings","2022Q3","Professional, scientific and technical activities (M)","Thousand","20267"
"Hirings","2022Q3","Administrative and support service activities (N)","Thousand","45454"
"Hirings","2022Q3","Public administration and defence; compulsory social security (O)","Thousand","9948"
"Hirings","2022Q3","Education (P)","Thousand","31490"
"Hirings","2022Q3","Human health and social work activities (Q)","Thousand","36956"
"Hirings","2022Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","17469"
"Hirings","2022Q3","Services (T, U)","Thousand","164"
"Hirings","2022Q4","All NACE economic sectors","Thousand","323874"
"Hirings","2022Q4","Not stated","Thousand","284"
"Hirings","2022Q4","Agriculture, forestry and fishing (A)","Thousand","3479"
"Hirings","2022Q4","Industry (B to E)","Thousand","19735"
"Hirings","2022Q4","Construction (F)","Thousand","14292"
"Hirings","2022Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","58237"
"Hirings","2022Q4","Transportation and storage (H)","Thousand","8136"
"Hirings","2022Q4","Accommodation and food service activities (I)","Thousand","47570"
"Hirings","2022Q4","Information and communication (J)","Thousand","13074"
"Hirings","2022Q4","Financial, insurance and real estate activities (K, L)","Thousand","11489"
"Hirings","2022Q4","Professional, scientific and technical activities (M)","Thousand","17858"
"Hirings","2022Q4","Administrative and support service activities (N)","Thousand","39283"
"Hirings","2022Q4","Public administration and defence; compulsory social security (O)","Thousand","7917"
"Hirings","2022Q4","Education (P)","Thousand","38235"
"Hirings","2022Q4","Human health and social work activities (Q)","Thousand","31899"
"Hirings","2022Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","12271"
"Hirings","2022Q4","Services (T, U)","Thousand","115"
"Hirings","2023Q1","All NACE economic sectors","Thousand","271764"
"Hirings","2023Q1","Not stated","Thousand","356"
"Hirings","2023Q1","Agriculture, forestry and fishing (A)","Thousand","5006"
"Hirings","2023Q1","Industry (B to E)","Thousand","19694"
"Hirings","2023Q1","Construction (F)","Thousand","16839"
"Hirings","2023Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","37141"
"Hirings","2023Q1","Transportation and storage (H)","Thousand","7597"
"Hirings","2023Q1","Accommodation and food service activities (I)","Thousand","40094"
"Hirings","2023Q1","Information and communication (J)","Thousand","10525"
"Hirings","2023Q1","Financial, insurance and real estate activities (K, L)","Thousand","10840"
"Hirings","2023Q1","Professional, scientific and technical activities (M)","Thousand","16213"
"Hirings","2023Q1","Administrative and support service activities (N)","Thousand","31810"
"Hirings","2023Q1","Public administration and defence; compulsory social security (O)","Thousand","11316"
"Hirings","2023Q1","Education (P)","Thousand","20518"
"Hirings","2023Q1","Human health and social work activities (Q)","Thousand","32385"
"Hirings","2023Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","11290"
"Hirings","2023Q1","Services (T, U)","Thousand","140"
"Hirings","2023Q2","All NACE economic sectors","Thousand","346982"
"Hirings","2023Q2","Not stated","Thousand","419"
"Hirings","2023Q2","Agriculture, forestry and fishing (A)","Thousand","5829"
"Hirings","2023Q2","Industry (B to E)","Thousand","22802"
"Hirings","2023Q2","Construction (F)","Thousand","19094"
"Hirings","2023Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","49408"
"Hirings","2023Q2","Transportation and storage (H)","Thousand","10710"
"Hirings","2023Q2","Accommodation and food service activities (I)","Thousand","58059"
"Hirings","2023Q2","Information and communication (J)","Thousand","10501"
"Hirings","2023Q2","Financial, insurance and real estate activities (K, L)","Thousand","12918"
"Hirings","2023Q2","Professional, scientific and technical activities (M)","Thousand","18160"
"Hirings","2023Q2","Administrative and support service activities (N)","Thousand","39622"
"Hirings","2023Q2","Public administration and defence; compulsory social security (O)","Thousand","11924"
"Hirings","2023Q2","Education (P)","Thousand","41205"
"Hirings","2023Q2","Human health and social work activities (Q)","Thousand","30104"
"Hirings","2023Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","16068"
"Hirings","2023Q2","Services (T, U)","Thousand","159"
"Hirings","2023Q3","All NACE economic sectors","Thousand","327001"
"Hirings","2023Q3","Not stated","Thousand","276"
"Hirings","2023Q3","Agriculture, forestry and fishing (A)","Thousand","4092"
"Hirings","2023Q3","Industry (B to E)","Thousand","21569"
"Hirings","2023Q3","Construction (F)","Thousand","18573"
"Hirings","2023Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","47814"
"Hirings","2023Q3","Transportation and storage (H)","Thousand","8732"
"Hirings","2023Q3","Accommodation and food service activities (I)","Thousand","51257"
"Hirings","2023Q3","Information and communication (J)","Thousand","10180"
"Hirings","2023Q3","Financial, insurance and real estate activities (K, L)","Thousand","11072"
"Hirings","2023Q3","Professional, scientific and technical activities (M)","Thousand","17766"
"Hirings","2023Q3","Administrative and support service activities (N)","Thousand","37092"
"Hirings","2023Q3","Public administration and defence; compulsory social security (O)","Thousand","10703"
"Hirings","2023Q3","Education (P)","Thousand","34406"
"Hirings","2023Q3","Human health and social work activities (Q)","Thousand","36401"
"Hirings","2023Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","16891"
"Hirings","2023Q3","Services (T, U)","Thousand","177"
"Hirings","2023Q4","All NACE economic sectors","Thousand","311612"
"Hirings","2023Q4","Not stated","Thousand","479"
"Hirings","2023Q4","Agriculture, forestry and fishing (A)","Thousand","3713"
"Hirings","2023Q4","Industry (B to E)","Thousand","18517"
"Hirings","2023Q4","Construction (F)","Thousand","15503"
"Hirings","2023Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","56285"
"Hirings","2023Q4","Transportation and storage (H)","Thousand","8343"
"Hirings","2023Q4","Accommodation and food service activities (I)","Thousand","44495"
"Hirings","2023Q4","Information and communication (J)","Thousand","9567"
"Hirings","2023Q4","Financial, insurance and real estate activities (K, L)","Thousand","11091"
"Hirings","2023Q4","Professional, scientific and technical activities (M)","Thousand","16625"
"Hirings","2023Q4","Administrative and support service activities (N)","Thousand","37409"
"Hirings","2023Q4","Public administration and defence; compulsory social security (O)","Thousand","9909"
"Hirings","2023Q4","Education (P)","Thousand","33739"
"Hirings","2023Q4","Human health and social work activities (Q)","Thousand","32279"
"Hirings","2023Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","13432"
"Hirings","2023Q4","Services (T, U)","Thousand","226"
"Hirings","2024Q1","All NACE economic sectors","Thousand","277796"
"Hirings","2024Q1","Not stated","Thousand","435"
"Hirings","2024Q1","Agriculture, forestry and fishing (A)","Thousand","4720"
"Hirings","2024Q1","Industry (B to E)","Thousand","19392"
"Hirings","2024Q1","Construction (F)","Thousand","17545"
"Hirings","2024Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","34688"
"Hirings","2024Q1","Transportation and storage (H)","Thousand","7787"
"Hirings","2024Q1","Accommodation and food service activities (I)","Thousand","36378"
"Hirings","2024Q1","Information and communication (J)","Thousand","9492"
"Hirings","2024Q1","Financial, insurance and real estate activities (K, L)","Thousand","10243"
"Hirings","2024Q1","Professional, scientific and technical activities (M)","Thousand","19044"
"Hirings","2024Q1","Administrative and support service activities (N)","Thousand","32874"
"Hirings","2024Q1","Public administration and defence; compulsory social security (O)","Thousand","13246"
"Hirings","2024Q1","Education (P)","Thousand","26666"
"Hirings","2024Q1","Human health and social work activities (Q)","Thousand","33950"
"Hirings","2024Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","11186"
"Hirings","2024Q1","Services (T, U)","Thousand","150"
"Hirings","2024Q2","All NACE economic sectors","Thousand","337290"
"Hirings","2024Q2","Not stated","Thousand","302"
"Hirings","2024Q2","Agriculture, forestry and fishing (A)","Thousand","5136"
"Hirings","2024Q2","Industry (B to E)","Thousand","24235"
"Hirings","2024Q2","Construction (F)","Thousand","18566"
"Hirings","2024Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","42163"
"Hirings","2024Q2","Transportation and storage (H)","Thousand","9120"
"Hirings","2024Q2","Accommodation and food service activities (I)","Thousand","50593"
"Hirings","2024Q2","Information and communication (J)","Thousand","11195"
"Hirings","2024Q2","Financial, insurance and real estate activities (K, L)","Thousand","10487"
"Hirings","2024Q2","Professional, scientific and technical activities (M)","Thousand","20529"
"Hirings","2024Q2","Administrative and support service activities (N)","Thousand","38442"
"Hirings","2024Q2","Public administration and defence; compulsory social security (O)","Thousand","14224"
"Hirings","2024Q2","Education (P)","Thousand","41681"
"Hirings","2024Q2","Human health and social work activities (Q)","Thousand","33049"
"Hirings","2024Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","17364"
"Hirings","2024Q2","Services (T, U)","Thousand","204"
"Hirings","2024Q3","All NACE economic sectors","Thousand","325403"
"Hirings","2024Q3","Not stated","Thousand","564"
"Hirings","2024Q3","Agriculture, forestry and fishing (A)","Thousand","4339"
"Hirings","2024Q3","Industry (B to E)","Thousand","22304"
"Hirings","2024Q3","Construction (F)","Thousand","19872"
"Hirings","2024Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","44112"
"Hirings","2024Q3","Transportation and storage (H)","Thousand","8807"
"Hirings","2024Q3","Accommodation and food service activities (I)","Thousand","47164"
"Hirings","2024Q3","Information and communication (J)","Thousand","12338"
"Hirings","2024Q3","Financial, insurance and real estate activities (K, L)","Thousand","11113"
"Hirings","2024Q3","Professional, scientific and technical activities (M)","Thousand","19051"
"Hirings","2024Q3","Administrative and support service activities (N)","Thousand","38349"
"Hirings","2024Q3","Public administration and defence; compulsory social security (O)","Thousand","10921"
"Hirings","2024Q3","Education (P)","Thousand","34586"
"Hirings","2024Q3","Human health and social work activities (Q)","Thousand","34833"
"Hirings","2024Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","16907"
"Hirings","2024Q3","Services (T, U)","Thousand","143"
"Stayers","2020Q2","All NACE economic sectors","Thousand","1964168"
"Stayers","2020Q2","Not stated","Thousand","989"
"Stayers","2020Q2","Agriculture, forestry and fishing (A)","Thousand","23507"
"Stayers","2020Q2","Industry (B to E)","Thousand","234744"
"Stayers","2020Q2","Construction (F)","Thousand","93909"
"Stayers","2020Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","303737"
"Stayers","2020Q2","Transportation and storage (H)","Thousand","75666"
"Stayers","2020Q2","Accommodation and food service activities (I)","Thousand","77854"
"Stayers","2020Q2","Information and communication (J)","Thousand","104222"
"Stayers","2020Q2","Financial, insurance and real estate activities (K, L)","Thousand","129625"
"Stayers","2020Q2","Professional, scientific and technical activities (M)","Thousand","125399"
"Stayers","2020Q2","Administrative and support service activities (N)","Thousand","126509"
"Stayers","2020Q2","Public administration and defence; compulsory social security (O)","Thousand","183150"
"Stayers","2020Q2","Education (P)","Thousand","196807"
"Stayers","2020Q2","Human health and social work activities (Q)","Thousand","236571"
"Stayers","2020Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","50596"
"Stayers","2020Q2","Services (T, U)","Thousand","883"
"Stayers","2020Q3","All NACE economic sectors","Thousand","1940136"
"Stayers","2020Q3","Not stated","Thousand","895"
"Stayers","2020Q3","Agriculture, forestry and fishing (A)","Thousand","24715"
"Stayers","2020Q3","Industry (B to E)","Thousand","237527"
"Stayers","2020Q3","Construction (F)","Thousand","98823"
"Stayers","2020Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","306582"
"Stayers","2020Q3","Transportation and storage (H)","Thousand","74780"
"Stayers","2020Q3","Accommodation and food service activities (I)","Thousand","72051"
"Stayers","2020Q3","Information and communication (J)","Thousand","102837"
"Stayers","2020Q3","Financial, insurance and real estate activities (K, L)","Thousand","127785"
"Stayers","2020Q3","Professional, scientific and technical activities (M)","Thousand","125714"
"Stayers","2020Q3","Administrative and support service activities (N)","Thousand","121432"
"Stayers","2020Q3","Public administration and defence; compulsory social security (O)","Thousand","182893"
"Stayers","2020Q3","Education (P)","Thousand","179411"
"Stayers","2020Q3","Human health and social work activities (Q)","Thousand","235471"
"Stayers","2020Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","48377"
"Stayers","2020Q3","Services (T, U)","Thousand","843"
"Stayers","2020Q4","All NACE economic sectors","Thousand","2045084"
"Stayers","2020Q4","Not stated","Thousand","1110"
"Stayers","2020Q4","Agriculture, forestry and fishing (A)","Thousand","24082"
"Stayers","2020Q4","Industry (B to E)","Thousand","240130"
"Stayers","2020Q4","Construction (F)","Thousand","100585"
"Stayers","2020Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","311570"
"Stayers","2020Q4","Transportation and storage (H)","Thousand","77081"
"Stayers","2020Q4","Accommodation and food service activities (I)","Thousand","134495"
"Stayers","2020Q4","Information and communication (J)","Thousand","103836"
"Stayers","2020Q4","Financial, insurance and real estate activities (K, L)","Thousand","127802"
"Stayers","2020Q4","Professional, scientific and technical activities (M)","Thousand","125998"
"Stayers","2020Q4","Administrative and support service activities (N)","Thousand","125569"
"Stayers","2020Q4","Public administration and defence; compulsory social security (O)","Thousand","182880"
"Stayers","2020Q4","Education (P)","Thousand","185671"
"Stayers","2020Q4","Human health and social work activities (Q)","Thousand","237532"
"Stayers","2020Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","65846"
"Stayers","2020Q4","Services (T, U)","Thousand","897"
"Stayers","2021Q1","All NACE economic sectors","Thousand","1977248"
"Stayers","2021Q1","Not stated","Thousand","659"
"Stayers","2021Q1","Agriculture, forestry and fishing (A)","Thousand","22321"
"Stayers","2021Q1","Industry (B to E)","Thousand","238338"
"Stayers","2021Q1","Construction (F)","Thousand","96225"
"Stayers","2021Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","314414"
"Stayers","2021Q1","Transportation and storage (H)","Thousand","75988"
"Stayers","2021Q1","Accommodation and food service activities (I)","Thousand","89779"
"Stayers","2021Q1","Information and communication (J)","Thousand","102216"
"Stayers","2021Q1","Financial, insurance and real estate activities (K, L)","Thousand","115852"
"Stayers","2021Q1","Professional, scientific and technical activities (M)","Thousand","126475"
"Stayers","2021Q1","Administrative and support service activities (N)","Thousand","125370"
"Stayers","2021Q1","Public administration and defence; compulsory social security (O)","Thousand","182032"
"Stayers","2021Q1","Education (P)","Thousand","195344"
"Stayers","2021Q1","Human health and social work activities (Q)","Thousand","241993"
"Stayers","2021Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","49586"
"Stayers","2021Q1","Services (T, U)","Thousand","656"
"Stayers","2021Q2","All NACE economic sectors","Thousand","2017535"
"Stayers","2021Q2","Not stated","Thousand","967"
"Stayers","2021Q2","Agriculture, forestry and fishing (A)","Thousand","24646"
"Stayers","2021Q2","Industry (B to E)","Thousand","240245"
"Stayers","2021Q2","Construction (F)","Thousand","95928"
"Stayers","2021Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","322723"
"Stayers","2021Q2","Transportation and storage (H)","Thousand","78811"
"Stayers","2021Q2","Accommodation and food service activities (I)","Thousand","85023"
"Stayers","2021Q2","Information and communication (J)","Thousand","107490"
"Stayers","2021Q2","Financial, insurance and real estate activities (K, L)","Thousand","117042"
"Stayers","2021Q2","Professional, scientific and technical activities (M)","Thousand","132963"
"Stayers","2021Q2","Administrative and support service activities (N)","Thousand","123091"
"Stayers","2021Q2","Public administration and defence; compulsory social security (O)","Thousand","185316"
"Stayers","2021Q2","Education (P)","Thousand","201048"
"Stayers","2021Q2","Human health and social work activities (Q)","Thousand","250896"
"Stayers","2021Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","50628"
"Stayers","2021Q2","Services (T, U)","Thousand","718"
"Stayers","2021Q3","All NACE economic sectors","Thousand","2154673"
"Stayers","2021Q3","Not stated","Thousand","1056"
"Stayers","2021Q3","Agriculture, forestry and fishing (A)","Thousand","26307"
"Stayers","2021Q3","Industry (B to E)","Thousand","248692"
"Stayers","2021Q3","Construction (F)","Thousand","107466"
"Stayers","2021Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","339156"
"Stayers","2021Q3","Transportation and storage (H)","Thousand","80105"
"Stayers","2021Q3","Accommodation and food service activities (I)","Thousand","134892"
"Stayers","2021Q3","Information and communication (J)","Thousand","111983"
"Stayers","2021Q3","Financial, insurance and real estate activities (K, L)","Thousand","119234"
"Stayers","2021Q3","Professional, scientific and technical activities (M)","Thousand","138878"
"Stayers","2021Q3","Administrative and support service activities (N)","Thousand","130776"
"Stayers","2021Q3","Public administration and defence; compulsory social security (O)","Thousand","186174"
"Stayers","2021Q3","Education (P)","Thousand","204558"
